Type,Label,Area,Mean,Min,Max,IntDen,RawIntDen
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_151.vsi - GFP, TRITC - C=1:c:2/2 z:39/55 - GFP, TRITC",153.309,653.916,375,866,100250.97,11930694
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_151.vsi - GFP, TRITC - C=1:c:2/2 z:39/55 - GFP, TRITC",99.817,453.032,269,671,45220.128,5381569
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_151.vsi - GFP, TRITC - C=1:c:2/2 z:37/55 - GFP, TRITC",126.924,1000.37,530,1430,126970.938,15110591
,,,,,,,
1,"17-11-25 PEG ONLY D0 500k+1.5m_Multichannel Z-Stack_20251117_153.vsi - GFP, TRITC - C=1:c:2/2 z:21/32 - GFP, TRITC",154.645,97.569,58,150,15088.473,1795653
2,"17-11-25 PEG ONLY D0 500k+1.5m_Multichannel Z-Stack_20251117_153.vsi - GFP, TRITC - C=1:c:2/2 z:21/32 - GFP, TRITC",223.321,394.536,167,566,88108.007,10485581
3,"17-11-25 PEG ONLY D0 500k+1.5m_Multichannel Z-Stack_20251117_153.vsi - GFP, TRITC - C=1:c:2/2 z:20/32 - GFP, TRITC",88.17,325.832,195,425,28728.719,3418955
4,"17-11-25 PEG ONLY D0 500k+1.5m_Multichannel Z-Stack_20251117_153.vsi - GFP, TRITC - C=1:c:2/2 z:20/32 - GFP, TRITC",88.817,717.036,295,982,63685.233,7579069
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_145.vsi - GFP, TRITC - C=1:c:2/2 z:22/33 - GFP, TRITC",239.731,112.466,70,173,26961.623,3208656
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_145.vsi - GFP, TRITC - C=1:c:2/2 z:22/33 - GFP, TRITC",151.763,800.004,451,1002,121410.602,14448865
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_145.vsi - GFP, TRITC - C=1:c:2/2 z:19/33 - GFP, TRITC",119.756,497.591,323,729,59589.727,7091670
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_145.vsi - GFP, TRITC - C=1:c:2/2 z:19/33 - GFP, TRITC",178.786,907.46,443,1215,162241.136,19308036
,,,,,,,
1,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_150.vsi - GFP, TRITC - C=1:c:2/2 z:21/35 - GFP, TRITC",236.757,124.641,82,256,29509.488,3511873
2,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_150.vsi - GFP, TRITC - C=1:c:2/2 z:21/35 - GFP, TRITC",136.075,589.72,300,804,80245.914,9549927
3,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_150.vsi - GFP, TRITC - C=1:c:2/2 z:21/35 - GFP, TRITC",99.186,429.664,198,630,42616.855,5071758
4,"17-11-25 PEG+DMSO D0 500k+1.5m_Multichannel Z-Stack_20251117_150.vsi - GFP, TRITC - C=1:c:2/2 z:21/35 - GFP, TRITC",163.602,891.371,320,1218,145830.166,17354995
,,,,,,,
